Region,2000,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Africa,"881,300","1,375,676","1,419,317","1,435,996","1,492,785","1,606,914","1,664,414","1,723,895","1,825,326","1,931,203","2,062,257","2,141,197","2,293,028"
Eastern Africa,"213,299","360,829","386,225","386,996","423,298","475,832","488,088","509,581","530,019","592,060","612,560","636,165","693,784"
Eritrea, - , - , - , - ,"23,840","29,681","34,876","29,438","33,930","36,967","39,063","43,010","49,134"
Ethiopia,"69,531","126,748","134,547","137,012","148,221","173,592","162,044","200,503","195,805","214,530","228,745","244,924","249,991"
Kenya,"41,081","79,111","80,595","83,489","87,267","88,519","102,561","106,727","110,678","121,300","129,905","129,670","138,150"
Somalia, - , - , - , - , - , - , - , - , - , - ,"89,153","93,020","106,525"
Other Eastern Africa,"143,768","154,970","171,083","166,495","163,970","184,040","188,607","172,913","189,606","219,263","125,694","125,541","149,984"
Middle Africa,"26,900","54,437","56,056","55,317","65,457","88,711","80,479","84,213","111,880","110,588","128,584","135,775","163,364"
Cameroon,"12,241", - , - , - , - ,"40,649","40,451","36,679","46,556","49,695","51,172","49,430","56,799"
Other Middle Africa, - , - , - , - , - ,"48,062","40,028","47,534","65,324","60,893","77,412","86,345","106,565"
Northern Africa,"190,491","261,469","274,951","255,942","264,536","280,280","290,234","321,956","321,945","322,390","345,832","357,574","359,559"
Egypt,"113,396","136,931","136,648","129,970","138,194","137,799","147,515","172,783","176,443","172,631","185,872","181,677","184,359"
Morocco,"34,703", - , - , - ,"58,283","63,165","62,812","65,247","63,798","74,435","71,654","80,384","84,271"
Sudan,"18,137", - , - , - ,"35,821","44,863","41,552","46,312","41,018","33,700","46,037","39,346","47,075"
Other Northern Africa,"77,095","124,538","138,303","125,972","32,238","34,453","38,355","37,614","40,686","41,624","42,269","56,167","43,854"
Southern Africa,"66,496","81,236","81,595","81,698","85,145","79,914","92,443","89,694","98,305","98,287","98,865","109,420","116,297"
South Africa,"63,558","79,472","78,571","79,585","82,339","77,985","87,699","85,528","95,191","92,218","94,141","104,889","111,720"
Other Southern Africa,"2,938","1,764","3,024","2,113","2,806","1,929","4,744","4,166","3,114","6,069","4,724","4,531","4,577"
Western Africa,"326,507","490,263","505,619","535,192","542,032","573,791","596,352","618,754","647,208","688,407","766,341","787,894","837,290"
Cabo Verde (Cape Verde),"26,682", - , - , - ,"32,885","33,460","35,836","33,938","30,744","37,145","43,352","44,519","46,792"
Ghana,"65,572","103,051","104,842","108,802","108,647","124,696","130,399","129,177","149,377","150,305","155,532","171,428","164,610"
Liberia,"40,666","64,100","72,125","65,373","72,111","66,089","72,262","73,131","78,909","82,154","79,497","88,090","93,891"
Nigeria,"134,940","197,489","185,787","206,604","209,908","219,309","226,849","238,796","234,465","264,399","323,635","306,874","344,979"
Sierra Leone,"20,831", - , - , - ,"32,467","34,935","33,066","38,564","37,559","41,171","42,065","38,101","40,161"
Other Western Africa,"105,164","125,623","142,865","154,413","86,014","95,302","97,940","105,148","116,154","113,233","122,260","138,882","146,857"
"Africa, n.e.c.","57,607","127,442","114,871","120,851","112,317","108,386","116,818","99,697","115,969","119,471","110,075","114,369","122,734"
